channelId,begintime,duration,evNombre,evDescription,providerId
1,20160910080000,30000,Triatlón (Varonil),ND,AMCO
1,20160910120000,13000,Voleibol sentado (Femenil),EE. UU. vs. Iran,AMCO
1,20160910140000,13000,Levantamiento de potencia (Varonil),65-Kg,AMCO
1,20160910153000,34500,Natación,ND,AMCO
2,20160910080000,24500,Ciclismo,Pista,AMCO
2,20160910133000,14500,Baloncesto en silla de ruedas (Varonil),ND,AMCO
2,20160910153000,30000,Atletismo,ND,AMCO
3,20160910080000,30000,Atletismo,ND,AMCO
3,20160910110000,14500,Levantamiento de potencia (Varonil),ND,AMCO
3,20160910143000,33000,Ciclismo,Pista,AMCO
3,20160910180000,13000,Voleibol sentado (Varonil),Bosnia vs. Ucrania,AMCO
4,20160910133000,3000,Rio Suena,ND,AMCO
4,20160910210000,10000,Rio Suena,ND,AMCO
1,20160911080000,54500,Triatlón (Femenil),ND,AMCO
1,20160911153000,40000,Natación,ND,AMCO
2,20160911080000,33000,Ciclismo,Pista,AMCO
2,20160911120000,13000,Voleibol sentado (Femenil),Canada vs. Holanda,AMCO
2,20160911153000,13000,Levantamiento de potencia (Varonil),72-Kg,AMCO
2,20160911153000,10000,Fútbol a 5,México vs. China,AMCO
3,20160911080000,30000,Atletismo,ND,AMCO
3,20160911110000,13000,Levantamiento de potencia (Varonil),72-Kg,AMCO
3,20160911160000,34500,Atletismo,ND,AMCO
4,20160911133000,3000,Rio Suena,ND,AMCO
4,20160911210000,10000,Rio Suena,ND,AMCO
1,20160912080000,31500,Atletismo,ND,AMCO
1,20160912120000,13000,Voleibol sentado (Varonil),China vs. Ucrania,AMCO
1,20160912153000,41500,Natación,ND,AMCO
2,20160912073000,13000,Natación,ND,AMCO
2,20160912111500,14500,Baloncesto en silla de ruedas (Varonil),Carlonca Arena,AMCO
2,20160912140000,40000,Tenis de mesa,Oro / Bronce / Varonail SM11 y Sm10 / Femenil SF3 y SF5,AMCO
3,20160912080000,30000,Levantamiento de potencia (Femenil),73-Kg,AMCO
3,20160912110000,13000,Levantamiento de potencia (Femenil),79-Kg,AMCO
3,20160912140000,30000,Levantamiento de potencia (Varonil),80-Kg,AMCO
3,20160912153000,10000,Atletismo,ND,AMCO
4,20160912150000,3000,Rio Suena,ND,AMCO
4,20160912210000,10000,Rio Suena,ND,AMCO
1,20160913080000,13000,Levantamiento de potencia (Varonil),88-Kg,AMCO
1,20160913110000,13000,Levantamiento de potencia (Varonil),86-Kg,AMCO
1,20160913140000,13000,Levantamiento de potencia (Varonil),97-Kg,AMCO
1,20160913153000,40000,Natación,ND,AMCO
2,20160913080000,33000,Atletismo,ND,AMCO
2,20160913120000,13000,Voleibol sentado (Varonil),Egipto vs. EE.UU.,AMCO
2,20160913150000,31500,Atletismo,ND,AMCO
3,20160913070000,10000,Fútbol a 5,Brasil vs. Iran,AMCO
3,20160913080000,10000,Fútbol a 5,Argentina vs. China,AMCO
3,20160913130000,43000,Tiro con arco (Varonil),1/4 de Final - Seminfinal - Bronce - Oro,AMCO
3,20160913180000,10000,Fútbol a 5,México vs. España,AMCO
4,20160913150000,3000,Rio Suena,ND,AMCO
4,20160913210000,10000,Rio Suena,ND,AMCO
1,20160914060000,33000,Ciclismo de ruta,ND,AMCO
1,20160914113000,23000,Ciclismo de ruta,ND,AMCO
1,20160914153000,40000,Natación,ND,AMCO
2,20160914080000,13000,Levantamiento de potencia (Varonil),107-Kg,AMCO
2,20160914133000,14500,Baloncesto en silla de ruedas (Varonil),Cuartos de Final,AMCO
2,20160914153000,30000,Atletismo,ND,AMCO
3,20160914080000,30000,Atletismo,ND,AMCO
